"FlowerID","Species","SepalLength_cm","SepalWidth_cm","PetalLength_cm","PetalWidth_cm","SepalArea_cm2","PetalArea_cm2","PetalSize"
1,"Setosa",5.1,3.5,1.4,0.2,17.85,0.28,"Small"
2,"Setosa",4.9,3,1.4,0.2,14.7,0.28,"Small"
3,"Setosa",4.7,3.2,1.3,0.2,15.04,0.26,"Small"
4,"Setosa",4.6,3.1,1.5,0.2,14.26,0.3,"Small"
5,"Setosa",5,3.6,1.4,0.2,18,0.28,"Small"
6,"Setosa",5.4,3.9,1.7,0.4,21.06,0.68,"Small"
7,"Setosa",4.6,3.4,1.4,0.3,15.64,0.42,"Small"
8,"Setosa",5,3.4,1.5,0.2,17,0.3,"Small"
9,"Setosa",4.4,2.9,1.4,0.2,12.76,0.28,"Small"
10,"Setosa",4.9,3.1,1.5,0.1,15.19,0.15,"Small"
11,"Setosa",5.4,3.7,1.5,0.2,19.98,0.3,"Small"
12,"Setosa",4.8,3.4,1.6,0.2,16.32,0.32,"Small"
13,"Setosa",4.8,3,1.4,0.1,14.4,0.14,"Small"
14,"Setosa",4.3,3,1.1,0.1,12.9,0.11,"Small"
15,"Setosa",5.8,4,1.2,0.2,23.2,0.24,"Small"
16,"Setosa",5.7,4.4,1.5,0.4,25.08,0.6,"Small"
17,"Setosa",5.4,3.9,1.3,0.4,21.06,0.52,"Small"
18,"Setosa",5.1,3.5,1.4,0.3,17.85,0.42,"Small"
19,"Setosa",5.7,3.8,1.7,0.3,21.66,0.51,"Small"
20,"Setosa",5.1,3.8,1.5,0.3,19.38,0.45,"Small"
21,"Setosa",5.4,3.4,1.7,0.2,18.36,0.34,"Small"
22,"Setosa",5.1,3.7,1.5,0.4,18.87,0.6,"Small"
23,"Setosa",4.6,3.6,1,0.2,16.56,0.2,"Small"
24,"Setosa",5.1,3.3,1.7,0.5,16.83,0.85,"Small"
25,"Setosa",4.8,3.4,1.9,0.2,16.32,0.38,"Small"
26,"Setosa",5,3,1.6,0.2,15,0.32,"Small"
27,"Setosa",5,3.4,1.6,0.4,17,0.64,"Small"
28,"Setosa",5.2,3.5,1.5,0.2,18.2,0.3,"Small"
29,"Setosa",5.2,3.4,1.4,0.2,17.68,0.28,"Small"
30,"Setosa",4.7,3.2,1.6,0.2,15.04,0.32,"Small"
31,"Setosa",4.8,3.1,1.6,0.2,14.88,0.32,"Small"
32,"Setosa",5.4,3.4,1.5,0.4,18.36,0.6,"Small"
33,"Setosa",5.2,4.1,1.5,0.1,21.32,0.15,"Small"
34,"Setosa",5.5,4.2,1.4,0.2,23.1,0.28,"Small"
35,"Setosa",4.9,3.1,1.5,0.2,15.19,0.3,"Small"
36,"Setosa",5,3.2,1.2,0.2,16,0.24,"Small"
37,"Setosa",5.5,3.5,1.3,0.2,19.25,0.26,"Small"
38,"Setosa",4.9,3.6,1.4,0.1,17.64,0.14,"Small"
39,"Setosa",4.4,3,1.3,0.2,13.2,0.26,"Small"
40,"Setosa",5.1,3.4,1.5,0.2,17.34,0.3,"Small"
41,"Setosa",5,3.5,1.3,0.3,17.5,0.39,"Small"
42,"Setosa",4.5,2.3,1.3,0.3,10.35,0.39,"Small"
43,"Setosa",4.4,3.2,1.3,0.2,14.08,0.26,"Small"
44,"Setosa",5,3.5,1.6,0.6,17.5,0.96,"Small"
45,"Setosa",5.1,3.8,1.9,0.4,19.38,0.76,"Small"
46,"Setosa",4.8,3,1.4,0.3,14.4,0.42,"Small"
47,"Setosa",5.1,3.8,1.6,0.2,19.38,0.32,"Small"
48,"Setosa",4.6,3.2,1.4,0.2,14.72,0.28,"Small"
49,"Setosa",5.3,3.7,1.5,0.2,19.61,0.3,"Small"
50,"Setosa",5,3.3,1.4,0.2,16.5,0.28,"Small"
51,"Versicolor",7,3.2,4.7,1.4,22.4,6.58,"Medium"
52,"Versicolor",6.4,3.2,4.5,1.5,20.48,6.75,"Medium"
53,"Versicolor",6.9,3.1,4.9,1.5,21.39,7.35,"Medium"
54,"Versicolor",5.5,2.3,4,1.3,12.65,5.2,"Medium"
55,"Versicolor",6.5,2.8,4.6,1.5,18.2,6.9,"Medium"
56,"Versicolor",5.7,2.8,4.5,1.3,15.96,5.85,"Medium"
57,"Versicolor",6.3,3.3,4.7,1.6,20.79,7.52,"Medium"
58,"Versicolor",4.9,2.4,3.3,1,11.76,3.3,"Medium"
59,"Versicolor",6.6,2.9,4.6,1.3,19.14,5.98,"Medium"
60,"Versicolor",5.2,2.7,3.9,1.4,14.04,5.46,"Medium"
61,"Versicolor",5,2,3.5,1,10,3.5,"Medium"
62,"Versicolor",5.9,3,4.2,1.5,17.7,6.3,"Medium"
63,"Versicolor",6,2.2,4,1,13.2,4,"Medium"
64,"Versicolor",6.1,2.9,4.7,1.4,17.69,6.58,"Medium"
65,"Versicolor",5.6,2.9,3.6,1.3,16.24,4.68,"Medium"
66,"Versicolor",6.7,3.1,4.4,1.4,20.77,6.16,"Medium"
67,"Versicolor",5.6,3,4.5,1.5,16.8,6.75,"Medium"
68,"Versicolor",5.8,2.7,4.1,1,15.66,4.1,"Medium"
69,"Versicolor",6.2,2.2,4.5,1.5,13.64,6.75,"Medium"
70,"Versicolor",5.6,2.5,3.9,1.1,14,4.29,"Medium"
71,"Versicolor",5.9,3.2,4.8,1.8,18.88,8.64,"Medium"
72,"Versicolor",6.1,2.8,4,1.3,17.08,5.2,"Medium"
73,"Versicolor",6.3,2.5,4.9,1.5,15.75,7.35,"Medium"
74,"Versicolor",6.1,2.8,4.7,1.2,17.08,5.64,"Medium"
75,"Versicolor",6.4,2.9,4.3,1.3,18.56,5.59,"Medium"
76,"Versicolor",6.6,3,4.4,1.4,19.8,6.16,"Medium"
77,"Versicolor",6.8,2.8,4.8,1.4,19.04,6.72,"Medium"
78,"Versicolor",6.7,3,5,1.7,20.1,8.5,"Large"
79,"Versicolor",6,2.9,4.5,1.5,17.4,6.75,"Medium"
80,"Versicolor",5.7,2.6,3.5,1,14.82,3.5,"Medium"
81,"Versicolor",5.5,2.4,3.8,1.1,13.2,4.18,"Medium"
82,"Versicolor",5.5,2.4,3.7,1,13.2,3.7,"Medium"
83,"Versicolor",5.8,2.7,3.9,1.2,15.66,4.68,"Medium"
84,"Versicolor",6,2.7,5.1,1.6,16.2,8.16,"Large"
85,"Versicolor",5.4,3,4.5,1.5,16.2,6.75,"Medium"
86,"Versicolor",6,3.4,4.5,1.6,20.4,7.2,"Medium"
87,"Versicolor",6.7,3.1,4.7,1.5,20.77,7.05,"Medium"
88,"Versicolor",6.3,2.3,4.4,1.3,14.49,5.72,"Medium"
89,"Versicolor",5.6,3,4.1,1.3,16.8,5.33,"Medium"
90,"Versicolor",5.5,2.5,4,1.3,13.75,5.2,"Medium"
91,"Versicolor",5.5,2.6,4.4,1.2,14.3,5.28,"Medium"
92,"Versicolor",6.1,3,4.6,1.4,18.3,6.44,"Medium"
93,"Versicolor",5.8,2.6,4,1.2,15.08,4.8,"Medium"
94,"Versicolor",5,2.3,3.3,1,11.5,3.3,"Medium"
95,"Versicolor",5.6,2.7,4.2,1.3,15.12,5.46,"Medium"
96,"Versicolor",5.7,3,4.2,1.2,17.1,5.04,"Medium"
97,"Versicolor",5.7,2.9,4.2,1.3,16.53,5.46,"Medium"
98,"Versicolor",6.2,2.9,4.3,1.3,17.98,5.59,"Medium"
99,"Versicolor",5.1,2.5,3,1.1,12.75,3.3,"Medium"
100,"Versicolor",5.7,2.8,4.1,1.3,15.96,5.33,"Medium"
101,"Virginica",6.3,3.3,6,2.5,20.79,15,"Large"
102,"Virginica",5.8,2.7,5.1,1.9,15.66,9.69,"Large"
103,"Virginica",7.1,3,5.9,2.1,21.3,12.39,"Large"
104,"Virginica",6.3,2.9,5.6,1.8,18.27,10.08,"Large"
105,"Virginica",6.5,3,5.8,2.2,19.5,12.76,"Large"
106,"Virginica",7.6,3,6.6,2.1,22.8,13.86,"Large"
107,"Virginica",4.9,2.5,4.5,1.7,12.25,7.65,"Medium"
108,"Virginica",7.3,2.9,6.3,1.8,21.17,11.34,"Large"
109,"Virginica",6.7,2.5,5.8,1.8,16.75,10.44,"Large"
110,"Virginica",7.2,3.6,6.1,2.5,25.92,15.25,"Large"
111,"Virginica",6.5,3.2,5.1,2,20.8,10.2,"Large"
112,"Virginica",6.4,2.7,5.3,1.9,17.28,10.07,"Large"
113,"Virginica",6.8,3,5.5,2.1,20.4,11.55,"Large"
114,"Virginica",5.7,2.5,5,2,14.25,10,"Large"
115,"Virginica",5.8,2.8,5.1,2.4,16.24,12.24,"Large"
116,"Virginica",6.4,3.2,5.3,2.3,20.48,12.19,"Large"
117,"Virginica",6.5,3,5.5,1.8,19.5,9.9,"Large"
118,"Virginica",7.7,3.8,6.7,2.2,29.26,14.74,"Large"
119,"Virginica",7.7,2.6,6.9,2.3,20.02,15.87,"Large"
120,"Virginica",6,2.2,5,1.5,13.2,7.5,"Large"
121,"Virginica",6.9,3.2,5.7,2.3,22.08,13.11,"Large"
122,"Virginica",5.6,2.8,4.9,2,15.68,9.8,"Medium"
123,"Virginica",7.7,2.8,6.7,2,21.56,13.4,"Large"
124,"Virginica",6.3,2.7,4.9,1.8,17.01,8.82,"Medium"
125,"Virginica",6.7,3.3,5.7,2.1,22.11,11.97,"Large"
126,"Virginica",7.2,3.2,6,1.8,23.04,10.8,"Large"
127,"Virginica",6.2,2.8,4.8,1.8,17.36,8.64,"Medium"
128,"Virginica",6.1,3,4.9,1.8,18.3,8.82,"Medium"
129,"Virginica",6.4,2.8,5.6,2.1,17.92,11.76,"Large"
130,"Virginica",7.2,3,5.8,1.6,21.6,9.28,"Large"
131,"Virginica",7.4,2.8,6.1,1.9,20.72,11.59,"Large"
132,"Virginica",7.9,3.8,6.4,2,30.02,12.8,"Large"
133,"Virginica",6.4,2.8,5.6,2.2,17.92,12.32,"Large"
134,"Virginica",6.3,2.8,5.1,1.5,17.64,7.65,"Large"
135,"Virginica",6.1,2.6,5.6,1.4,15.86,7.84,"Large"
136,"Virginica",7.7,3,6.1,2.3,23.1,14.03,"Large"
137,"Virginica",6.3,3.4,5.6,2.4,21.42,13.44,"Large"
138,"Virginica",6.4,3.1,5.5,1.8,19.84,9.9,"Large"
139,"Virginica",6,3,4.8,1.8,18,8.64,"Medium"
140,"Virginica",6.9,3.1,5.4,2.1,21.39,11.34,"Large"
141,"Virginica",6.7,3.1,5.6,2.4,20.77,13.44,"Large"
142,"Virginica",6.9,3.1,5.1,2.3,21.39,11.73,"Large"
143,"Virginica",5.8,2.7,5.1,1.9,15.66,9.69,"Large"
144,"Virginica",6.8,3.2,5.9,2.3,21.76,13.57,"Large"
145,"Virginica",6.7,3.3,5.7,2.5,22.11,14.25,"Large"
146,"Virginica",6.7,3,5.2,2.3,20.1,11.96,"Large"
147,"Virginica",6.3,2.5,5,1.9,15.75,9.5,"Large"
148,"Virginica",6.5,3,5.2,2,19.5,10.4,"Large"
149,"Virginica",6.2,3.4,5.4,2.3,21.08,12.42,"Large"
150,"Virginica",5.9,3,5.1,1.8,17.7,9.18,"Large"
